"Source:","C:\Users\opticslab\Documents\KiCad\TimeDelayDevice\FIFO_P.sch"
"Date:","7/1/2019 10:24:26 AM"
"Tool:","Eeschema (5.1.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","61"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C2","1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C3","1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C4","560pF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C5","100nF","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C6","100nF","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C7","1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C8","1uF","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C9","1uF","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C10","1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C11","1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C12",".1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C13","10uF","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C14",".1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C15","10uF","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C16",".1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C17","10uF","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C18",".1uF","Device:C_Small","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"","","C19","10uF","Device:C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C20",".47uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","C21","22uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C22",".47uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C25",".47uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","C26","22uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C27","22uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","C28",".47uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C29","22uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C30",".47uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"","","C31","22uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"","","D1","LED_RED","Device:LED","LED_THT:LED_D3.0mm",""
"","","J1","Vin +","Connector:Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478204_Vertical"," ~"
"","","J2","Vin -","Connector:Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478204_Vertical"," ~"
