Reference, Value
C1,560pF
C10,1uF
C11,1uF
C12,.1uF
C13,10uF
C14,.1uF
C15,10uF
C16,.1uF
C17,10uF
C18,.1uF
C19,10uF
C2,1uF
C20,22uF
C21,.47uF
C22,22uF
C23,.47uF
C24,22uF
C25,.47uF
C26,22uF
C27,.47uF
C28,22uF
C29,.47uF
C3,100nF
C4,1uF
C5,100nF
C6,1uF
C7,1uF
C8,1uF
C9,1uF
D1,LED_RED
JP1,JUMPER3
JP2,JUMPER
JP3,JUMPER
P1,Vin +
P2,Vin -
P3,CLK
P4,Vout
R1,50R
R2,51R
R3,51R
R4,0R
R5,0R
R6,10R
R7,3.3k
R8,10k
R9,3.3k
RV1,1K
SW1,Grayhill_61C
U1,SN74LVC2G157_MUX_TI
U10,AD7840
U11,LM2940CT-5.0
U12,UA79M05CKCS_-5V
U13,LM2940CT-3.3
U2,IDT_ICS551
U3,LTC1740
U4,ARDUINO_DUE
U5,IDT_72V2105
U6,TXB0104
U7,TXB0104
U8,TXB0104
U9,TXB0104
