Min Delay ms,Max Delay ms,Swords (Fwords + 7),,Clock,Signal,Out RT
0.2002,0.2202,11,,50 kHz,10 Hz,~145 ns
0.2202,0.2401,12,,AFG3251C,AFG3251,
0.2403,0.2601,13,,,,
0.2602,0.2801,14,,,,
0.2802,0.3001,15,,,,
0.3002,0.3201,16,,,,
0.3202,0.3402,17,,,,
0.3402,0.3601,18,,,,
0.3602,0.3802,19,,,,
0.3803,0.4001,20,,,,
0.5802,0.6001,30,,,,
0.7802,0.8001,40,,,,
0.9802,1.0001,50,,,,
1.18,1.2,60,,,,
1.38,1.4,70,,,,
1.58,1.6,80,,,,
1.78,1.8,90,,,,
1.98,2,100,,,,
3.98,4,200,,,,
5.98,6,300,,,,
7.98,8,400,,,,
9.98,10,500,,,,
11.98,12,600,,,,
13.98,14,700,,,,
15.98,16,800,,,,
17.98,18,900,,,,
19.98,20,1000,,,,
39.98,40,2000,,,,
59.98,60,3000,,,,
79.98,80,4000,,,,
99.98,100,5000,,,,
119.98,120,6000,,,,
139.98,140,7000,,,,
159.98,160,8000,,,,
179.98,180,9000,,Direct: All further good,,
-20.14,-216,10000,,"Indirect: min in 4.us, max in 4.ns",,
-20.51,-609.9,20000,,,,
-20.88,-962.9,30000,,,,
-21.25,-1340,40000,,,,
-21.62,-1703,50000,,,,
-21.99,-2072,60000,,,,
-22.33,-2462,70000,,,,
-22.74,-2818,80000,,,,
-23.11,-3266,90000,,,,
-23.47,-3557,100000,,,,
-23.85,-3994,110000,,,,
-24.22,-4300,120000,,,,
-24.59,-4678,130000,,,,
-24.96,-5113,140000,,,,
-25.34,-5425,150000,,,,
-25.7,-5780,160000,,,,
-26.07,-6156,170000,,,,
-26.45,-6529,180000,,,,
-26.82,-6913,190000,,,,
-27.19,-7292,200000,,,,
-27.53,-7657,210000,,,,
-27.92,-8025,220000,,,,
-28.31,-8430,230000,,,,
-28.61,-8759,240000,,,,
-29.04,-9128,250000,,,,
-29.41,-9498,260000,,,,
